sub,locationId,totalAmount,emailCredits
Demo,WphrMU0x3Ocd2pEpBJcH,0,3000
OCR,jH41Z47TXtote3u6rh92,1000,3000
PV,rsdW1sEFWbzzULIapmdQ,13000,3000
MKH,tCDIsdPF3Em8dZW3fc0B,12000,3000
Radium,E0H7r1mN6ry0kv4uGZ6L,10000,63000
HondaButterworth,UH6LDXjqUpp906LIRgXJ,0,3000
JMMotor,yislM4BFwd5JtlwXtKZM,0,3000
SupremeSprings,A3k6CQJPTZBR3jvZ0Fp9,0,3000
AlphaGalaxy,VfZvkCL9M13RPHNpCGPi,5000,3000
TripleThree,aIzvZ3CF67w8uUjkPchx,1000,3000
Jastamax,um39aTH6U9mTq8NrMngA,0,3000
AvalandAetas,rYA8TWCmZb2oVi43THLD,5000,3000
LSH,jhK98wkjheNkRJlKPQPt,1000,3000
Forum,yNJna0ZdyTI6naLhJu4R,3000,3000
City,UTlkUPljhIcaHUW95wIW,3000,3000
BHP,ZGtHSLAGOT83yj6W1pDG,3000,3000
SunsuriaHQ,05h0PSv7qslciXXdmieo,1000,10000
Trinity,83cg5swg1HNsQAWITxCh,21000,0
Matrix,rAwOTvyeBKiAiTH7Ww8O,10000,0
Orando,deO9d55gcA2INMHhK2RC,10000,10000
AGB,rtYVCVKq2G8uI1Q38qda,1000,0
HongHuat,PLkPR5yXNNLJgANJ6px0,0,0
KlassikTropika,GlUjhJZT1TKeePM74VEQ,10000,0
MKHFeedback,MfDp0AqaeLg78p4R0k3Y,0,100000
