Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,104,$0.08,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,N/A,Messaging Channels Outbound Message,188,$0.94,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,N/A,Messaging Channels Inbound Message,59,$0.30,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,54,$0.76,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,N/A,Failed Message Processing Fee,66,$0.07,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Client Calls,N/A,Twilio Client Minutes,"1,995",$7.98,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,N/A,Recording - TwiML <Record>,6,$0.02,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,N/A,Recording - Outbound API,428,$1.07,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,N/A,Recording - TwiML <Dial>/<Recording>,250,$0.63,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,18,$72.00,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,164,$4.72,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Calls,Australia,Programmable Outbound Minute - Australia - Mobile,1,$0.08,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Calls,India,Programmable Outbound Minute - India - Mobile,4,$0.16,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Calls,Germany,Programmable Outbound Minute - Germany - Mobile,3,$1.13,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,"1,083",$86.64,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
All Accounts Combined,All Accounts Combined,Service,Conference,N/A,Conference Minute - APAC - Singapore,"2,238",$6.71,All Accounts Combined,All Accounts Combined,None,04,2026,HAWSGN-2026-04
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,N/A,Failed Message Processing Fee,1,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Client Calls,N/A,Twilio Client Minutes,5,$0.02,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - Outbound API,3,$0.01,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,3,$0.24,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Conference,N/A,Conference Minute - APAC - Singapore,8,$0.02,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,6,$0.00,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Client Calls,N/A,Twilio Client Minutes,101,$0.40,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - Outbound API,49,$0.12,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - TwiML <Dial>/<Recording>,30,$0.08,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,34,$0.98,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,81,$6.48,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria City,MNC Tech Sdn Bhd,Service,Conference,N/A,Conference Minute - APAC - Singapore,148,$0.44,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,12,$0.01,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Programmable Messaging,N/A,Failed Message Processing Fee,2,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,N/A,Twilio Client Minutes,305,$1.22,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - Outbound API,118,$0.30,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,N/A,Recording - TwiML <Dial>/<Recording>,107,$0.27,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,227,$18.16,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,14,$0.40,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,N/A,Conference Minute - APAC - Singapore,291,$0.87,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
SunSuria Forum,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,10,$0.01,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),04,2026,HAWSGN-2026-04
