Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,50,$0.04,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,16,$0.08,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,12,$0.06,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,6,$0.08,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,80,$0.08,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,826,$3.30,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,2,$0.01,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,147,$0.37,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,40,$0.10,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,7,$28.00,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,79,$1.98,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,13,$0.65,All Accounts Combined,All Accounts Combined,None,08,2025,HAWSGN-2025-08
