Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,71,$0.06,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,223,$1.12,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,65,$0.33,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,63,$0.88,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,51,$0.05,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"2,406",$9.62,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,14,$0.04,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,"1,389",$3.47,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,65,$0.16,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,13,$52.00,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,139,$4.00,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Calls,India,Programmable Outbound Minute - India - Mobile,3,$0.12,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,3,$0.15,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Calls,United States,Programmable Outbound Minute - United States & Canada,1,$0.01,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,"1,448",$115.84,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"3,755",$11.27,All Accounts Combined,All Accounts Combined,None,12,2025,HAWSGN-2025-12
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,3,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),12,2025,HAWSGN-2025-12
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,3,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),12,2025,HAWSGN-2025-12
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,2,$0.01,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),12,2025,HAWSGN-2025-12
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,6,$0.02,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),12,2025,HAWSGN-2025-12
