Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,134,$0.11,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,424,$2.12,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,112,$0.56,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,127,$1.78,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,34,$0.03,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"1,058",$4.23,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,5,$0.01,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,605,$1.51,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - API Start Call,4,$0.01,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Dual Channel API Start Call,6,$0.02,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,20,$0.05,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Sip Calls,Non Geographic,SIP Out Minutes,4,$0.02,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,17,$68.00,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,159,$4.58,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Calls,Australia,Programmable Outbound Minute - Australia - Mobile,1,$0.08,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,6,$0.30,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,626,$50.08,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"1,655",$4.97,All Accounts Combined,All Accounts Combined,None,02,2026,HAWSGN-2026-02
