Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,90,$0.07,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,235,$1.18,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,67,$0.34,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,63,$0.88,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,56,$0.06,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"3,048",$12.19,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,19,$0.05,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,"1,718",$4.30,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - API Start Call,2,$0.01,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,72,$0.18,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Sip Calls,Non Geographic,SIP Out Minutes,2,$0.01,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,17,$68.00,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,173,$4.98,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Calls,France,Programmable Outbound Minute - France - Mobile - SFR,1,$0.16,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,"1,791",$143.28,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"4,752",$14.26,All Accounts Combined,All Accounts Combined,None,01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,2,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,17,$0.02,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,3,$0.01,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,1,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,2,$0.06,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,4,$0.01,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,17,$0.01,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,366,$1.46,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,3,$0.01,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,220,$0.55,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,18,$0.52,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,223,$17.84,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria City,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,586,$1.76,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,18,$0.01,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,349,$1.40,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,240,$0.60,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,10,$0.03,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,24,$0.69,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,250,$20.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,588,$1.76,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,32,$0.03,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,519,$2.08,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,3,$0.01,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,305,$0.76,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),01,2026,HAWSGN-2026-01
