Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,92,$0.07,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,63,$0.32,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,27,$0.14,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,13,$0.18,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,23,$0.02,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,296,$1.18,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,2,$0.01,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,184,$0.46,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - API Start Call,12,$0.03,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,51,$0.13,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Sip Calls,Non Geographic,SIP Out Minutes,36,$0.14,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,3,$12.00,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,157,$3.93,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,31,$1.55,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,216,$17.28,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,480,$1.44,All Accounts Combined,All Accounts Combined,None,07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,2,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,11,$0.01,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,282,$1.13,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,176,$0.44,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,2,$0.01,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,9,$0.02,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,181,$14.48,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,11,$0.28,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,458,$1.37,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,63,$0.32,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,1,$0.00,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,13,$0.18,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,26,$0.13,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
Demo,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,90,$0.07,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),07,2025,HAWSGN-2025-07
