Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,40,$0.03,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,26,$0.13,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,19,$0.10,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,10,$0.01,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Conversation Marketing - Malaysia,5,$0.43,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,764,$3.06,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,3,$0.01,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,519,$1.30,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Dual Channel API Start Call,6,$0.02,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,31,$0.08,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,2,$8.00,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,65,$1.63,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,1,$0.05,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,551,$44.08,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"1,281",$3.84,All Accounts Combined,All Accounts Combined,None,06,2025,HAWSGN-2025-06
MNC Tech,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,9,$0.01,ACeffb3d53086e4840abb2d8ed8a420e5b,Master Account,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,3,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,1,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,666,$2.66,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,422,$1.06,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,15,$0.04,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,3,$0.01,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,19,$0.48,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,437,$34.96,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"1,086",$3.26,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,37,$0.03,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,26,$0.13,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,19,$0.10,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Programmable Messaging,Malaysia,WhatsApp Conversation Marketing - Malaysia,5,$0.43,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,98,$0.39,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,97,$0.24,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,16,$0.04,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Dual Channel API Start Call,6,$0.02,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,114,$9.12,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,46,$1.15,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,1,$0.05,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
Demo,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,195,$0.59,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),06,2025,HAWSGN-2025-06
