Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,100,$0.08,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,397,$1.99,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,107,$0.54,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,119,$1.67,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,99,$0.10,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"2,276",$9.10,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,23,$0.06,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,864,$2.16,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Dual Channel API Start Call,2,$0.01,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,59,$0.15,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,17,$68.00,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,181,$5.21,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Calls,Australia,Programmable Outbound Minute - Australia - Mobile,3,$0.23,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Calls,United Kingdom,Programmable Outbound Minute - United Kingdom - from SurchargeZone1,1,$0.23,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,"1,166",$93.28,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"3,261",$9.78,All Accounts Combined,All Accounts Combined,None,03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,1,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,7,$0.01,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,9,$0.04,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,5,$0.01,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,1,$0.03,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,5,$0.40,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),03,2026,HAWSGN-2026-03
