Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,310,$0.25,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,18,$0.02,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,678,$2.71,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,13,$0.03,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,461,$1.15,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Dual Channel API Start Call,64,$0.16,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,83,$0.21,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,3,$12.00,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,177,$4.43,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,16,$0.80,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,562,$44.96,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"1,138",$3.41,All Accounts Combined,All Accounts Combined,None,05,2025,HAWSGN-2025-05
MNC Tech,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACeffb3d53086e4840abb2d8ed8a420e5b,Master Account,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
MNC Tech,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,1,$0.00,ACeffb3d53086e4840abb2d8ed8a420e5b,Master Account,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
MNC Tech,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,7,$0.18,ACeffb3d53086e4840abb2d8ed8a420e5b,Master Account,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
MNC Tech,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,ACeffb3d53086e4840abb2d8ed8a420e5b,Master Account,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,227,$0.18,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,17,$0.02,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,652,$2.61,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,442,$1.11,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,49,$0.12,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,1,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),05,2025,HAWSGN-2025-05
