Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,106,$0.08,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,208,$1.04,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,61,$0.31,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,48,$0.67,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,164,$0.16,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"3,037",$12.15,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,6,$0.02,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,"1,765",$4.41,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,90,$0.23,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,14,$56.00,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,169,$4.87,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,"1,863",$149.04,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"4,767",$14.30,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
All Accounts Combined,All Accounts Combined,Service,Conference,Ireland,Conference Minute - Europe - Dublin,4,$0.01,All Accounts Combined,All Accounts Combined,None,11,2025,HAWSGN-2025-11
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,1,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,5,$0.14,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,5,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,22,$0.02,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,3,$0.00,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,374,$1.50,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,19,$0.05,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,222,$0.56,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,36,$1.04,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,241,$19.28,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria City,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,591,$1.77,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Armani Developments,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,1,$0.03,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Pangsapuri Azalea,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,1,$0.00,AC5736462d5d66fe34587bb3fb65c9bb83,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,3,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,99,$0.10,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,306,$1.22,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,7,$0.02,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,192,$0.48,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,7,$0.20,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,201,$16.08,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,498,$1.49,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,39,$0.03,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,4,$0.00,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,585,$2.34,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,339,$0.85,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,20,$0.05,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,361,$28.88,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,46,$1.32,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
SunSuria Forum,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,924,$2.77,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Berjaya Hills Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC85945677efaff189e4bea2149576c8d9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Berjaya Hills Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,1,$0.00,AC85945677efaff189e4bea2149576c8d9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Berjaya Hills Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,6,$0.17,AC85945677efaff189e4bea2149576c8d9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Berjaya Hills Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,AC85945677efaff189e4bea2149576c8d9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Berjaya Hills Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,6,$0.00,AC85945677efaff189e4bea2149576c8d9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Seputeh Heights,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Seputeh Heights,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,1,$0.00,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Seputeh Heights,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Seputeh Heights,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,3,$0.09,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Seputeh Heights,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,3,$0.00,ACade6dcbc4f74e48f43b24e98a8ef7bab,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,208,$1.04,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,61,$0.31,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
One Residence Sdn Bhd,MNC Tech Sdn Bhd,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,48,$0.67,ACca73e5834d56cc841d1ba7cb07aad201,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,21,$0.02,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,28,$0.03,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,290,$1.16,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,179,$0.45,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,8,$0.02,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,191,$15.28,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,21,$0.60,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,1,$0.05,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Orando Holdings,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,468,$1.40,ACcf75e777548d08d169c41f97bd6ec0ef,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
Demo,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,1,$0.00,ACe217c9267706083594bb2a4cf26b2ae5,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),11,2025,HAWSGN-2025-11
