Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,60,$0.05,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,71,$0.36,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,24,$0.12,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,18,$0.25,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,101,$0.10,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"2,016",$8.06,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,5,$0.01,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,630,$1.58,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,57,$0.14,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,14,$56.00,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,120,$3.46,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Calls,Australia,Programmable Outbound Minute - Australia - Mobile,4,$0.30,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,6,$0.30,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Calls,United States,Programmable Outbound Minute - United States & Canada,1,$0.01,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,"1,313",$105.04,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"3,268",$9.80,All Accounts Combined,All Accounts Combined,None,10,2025,HAWSGN-2025-10
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>/<Recording>,1,$0.00,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,3,$0.09,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
Pakar Angsana Sdn Bhd,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,1,$0.08,AC46c5cf88d38c21cb997b76fe8d32c9e7,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),10,2025,HAWSGN-2025-10
