Project,Company Name,Item Category,Item Group,Item Country,Item,Quantity,Amount (USD),Account Sid,Account Type,Parent SID,Month,Year,Invoice Number
All Accounts Combined,All Accounts Combined,Service,Text to Speech,United States,Amazon Polly Characters,86,$0.07,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Outbound Message,139,$0.70,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Messaging Channels Inbound Message,41,$0.21,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Malaysia,WhatsApp Template Utility - Malaysia,15,$0.21,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Programmable Messaging,Non Geographic,Failed Message Processing Fee,55,$0.06,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Client Calls,Non Geographic,Twilio Client Minutes,"1,495",$5.98,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Record>,1,$0.00,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - Outbound API,78,$0.20,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,43,$0.11,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,9,$36.00,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,121,$3.16,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia,4,$0.20,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,769,$61.52,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
All Accounts Combined,All Accounts Combined,Service,Conference,Singapore,Conference Minute - APAC - Singapore,"2,162",$6.49,All Accounts Combined,All Accounts Combined,None,09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,8,$0.01,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,46,$0.18,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,4,$0.01,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,32,$2.56,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,11,$0.32,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria City,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,73,$0.22,AC53f739a5de9da58cd87f2f8c08d42f02,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Armani Developments,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Armani Developments,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,1,$0.00,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Armani Developments,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,5,$0.13,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Armani Developments,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,2,$0.16,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
Armani Developments,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,3,$0.00,AC55631df23491fa8eac85ef54abbff9e9,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,1,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Client Calls,Non Geographic,Twilio Client Minutes,139,$0.56,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - Outbound API,75,$0.19,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Voice Recordings,Non Geographic,Recording - TwiML <Dial>,1,$0.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Phone Numbers,Malaysia,MALAYSIA Local Phone Number,1,$4.00,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,Programmable Outbound Minute - Malaysia - Mobile,76,$6.08,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Calls,Malaysia,MALAYSIA Local Incoming Minutes,1,$0.03,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
OCR Group Berhad,MNC Tech Sdn Bhd,Service,Conference,Singapore,Conference Minute - APAC - Singapore,214,$0.64,AC5fc5ef6b1a09d14b250e0f7e5b5b98ed,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
SunSuria Forum,MNC Tech Sdn Bhd,Service,Text to Speech,United States,Amazon Polly Characters,5,$0.00,AC7b88b74562d8c3af1dd9f708e7bfe10b,Subaccount,Some(ACeffb3d53086e4840abb2d8ed8a420e5b),09,2025,HAWSGN-2025-09
